Experiment,Reporting Label,Round,Training Loss,Test Loss,Test Accuracy (%),Cumulative Peak Accuracy (%),Source File
DP-3,DP noise 0.010,14,0.6185552346611023,1.0546678490699477,63.99,68.09,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,15,0.6036575030136108,0.9507024493187096,67.35,68.09,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,16,0.585060399017334,0.9922110278894948,67.55,68.09,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,17,0.5708522953701018,0.983901452486682,67.39,68.09,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,18,0.5638850797748566,0.861494909616033,71.33,71.33,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,19,0.5476875737762451,0.9199611935645912,69.41,71.33,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,20,0.5408976163864135,0.8254385324800091,72.54,72.54,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,21,0.5319174755096435,0.8408158968208702,72.65,72.65,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,22,0.5156452676486969,1.0399895866585385,66.72,72.65,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,23,0.5119123363876342,1.1950692580004407,64.74,72.65,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,24,0.5024758893918991,1.4808877038348252,59.36,72.65,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,25,0.5035520679092407,1.6908746316174792,55.57,72.65,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,26,0.4983200777149201,1.0215631818315785,68.27,72.65,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,27,0.4955403413581848,0.7898572521984197,74.18,74.18,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,28,0.4795096511554718,1.0024292210864414,68.17,74.18,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,29,0.4843417798995972,0.923045858456071,70.49,74.18,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-3,DP noise 0.010,30,0.4724944650268554,1.2541665377890228,63.57,74.18,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-3_history.csv
DP-4,DP noise 0.020,1,1.722622403717041,2.607379131256395,9.77,9.77,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,2,1.3258300464057924,3.26096159637354,11.72,11.72,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,3,1.2982649909210204,3.372335099870232,11.63,11.72,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,4,1.2655075918197631,4.767098636384223,13.36,13.36,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,5,1.233196595916748,3.5986557022021834,13.82,13.82,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,6,1.2250510779571535,12.144624491406097,15.13,15.13,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,7,1.2010159464645385,3.901087736627858,20.67,20.67,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,8,1.1895525954818724,4.959446951082557,18.04,20.67,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,9,1.1883430118560792,4.626329364290663,18.65,20.67,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
